time,displacement_u_y,load_rf_y,nonlinear_iterations,simulation_time,sum_nonlinear_iterations,total_increments
0,0,0,0,0,0,0
0.01,0,0,0,7.389323239,0,1
0.025,0.00035131538708747,3.5048931407575,1,50.320072006,1,2
0.0475,0.00069509038127592,7.7809191323125,1,77.441399233,2,3
0.08125,0.0012105015641808,13.333030546143,1,94.652428517,3,4
0.131875,0.0019598169453992,22.202379416328,1,109.998521186,4,5
0.2078125,0.0030697588284288,34.691803583195,1,125.470739684,5,6
0.32171875,0.0047890949049047,53.989144629886,1,140.874839441,6,7
0.492578125,0.007399088105722,83.925362479734,1,156.316377593,7,8
0.7488671875,0.01130980126027,127.57775862954,1,171.634377569,8,9
1.13330078125,0.017124211410668,191.94777334914,1,187.134329551,9,10
1.63330078125,0.024670712837505,277.76317598034,1,202.641782107,10,11
2.13330078125,0.03227805662362,367.50165756836,1,218.169994459,11,12
2.63330078125,0.039933189956136,456.56359228632,1,233.641027075,12,13
3.13330078125,0.047644864305158,546.77464972578,1,249.202372381,13,14
3.63330078125,0.055387184062809,636.26577908488,1,264.919227111,14,15
4.13330078125,0.063137843573804,725.98899765422,1,280.515362908,15,16
4.63330078125,0.070899668461422,815.32215090082,1,296.176767073,16,17
5.13330078125,0.078658543461845,904.24131900725,1,311.965639064,17,18
5.63330078125,0.08642170109392,992.41540216023,1,327.470156524,18,19
6.13330078125,0.094180869396332,1078.8054652592,1,343.160476387,19,20
6.63330078125,0.10193566083242,1164.7630328665,1,359.022381072,20,21
7.13330078125,0.10968458935624,1251.3700248056,1,374.71239684,21,22
7.63330078125,0.11743299189568,1337.3883947828,1,390.186104647,22,23
8.13330078125,0.12515127314045,1425.0847066224,1,405.953449829,23,24
8.63330078125,0.13292365655874,1511.2080433136,1,421.81434797,24,25
9.13330078125,0.14062777265683,1599.0013423015,1,437.590425451,25,26
9.63330078125,0.14836858398993,1686.4457576515,1,453.237227394,26,27
10.13330078125,0.15606887925739,1774.8903317746,1,469.298459716,27,28
10.63330078125,0.16378158406586,1863.3790120441,1,485.297352786,28,29
11.13330078125,0.17146428271352,1952.2665167332,1,501.401427476,29,30
11.63330078125,0.17915554906001,2040.5537586985,1,517.529368301,30,31
12.13330078125,0.18682752026599,2128.7737531906,1,533.601825177,31,32
12.63330078125,0.19450734651004,2216.4431709844,1,550.046687874,32,33
13.13330078125,0.20217869742702,2304.1892050991,1,566.654070291,33,34
13.63330078125,0.2098598012517,2391.9709160799,1,583.472193651,34,35
14.13330078125,0.21753844707653,2480.283500969,1,600.454929775,35,36
14.63330078125,0.22522681992635,2568.8671113226,1,617.407976841,36,37
15.13330078125,0.23291390968647,2657.742601004,1,634.728381518,37,38
15.63330078125,0.24060812405682,2746.8652697577,1,651.886217495,38,39
16.13330078125,0.24830408051237,2834.3694555527,1,669.387111588,39,40
16.63330078125,0.25600469122901,2923.8593445882,1,686.869220721,40,41
17.13330078125,0.26370693279152,3011.6423261885,1,704.224319929,41,42
17.63330078125,0.27141414599942,3100.5262752125,1,721.748676944,42,43
18.13330078125,0.27922061742882,3179.8413126336,1,739.17378268,43,44
18.63330078125,0.2869135965519,3265.5049450296,1,756.716394831,44,45
19.13330078125,0.29468071023672,3352.7067332414,1,774.075420838,45,46
19.63330078125,0.30241335871124,3439.6088296454,1,791.4178589,46,47
20.13330078125,0.3102122895266,3522.8007207414,1,808.867677217,47,48
20.63330078125,0.31812322135895,3591.5613339494,1,826.508094769,48,49
21.13330078125,0.32555644629713,3693.3218761776,1,843.899295573,49,50
21.63330078125,0.3336553974898,3780.416815974,1,861.583078303,50,51
22.13330078125,0.34117311056431,3852.9194240147,1,879.088740117,51,52
22.63330078125,0.34926584950344,3934.4709851976,1,896.719878114,52,53
23.13330078125,0.35656352432267,4039.4802080428,1,914.282663691,53,54
23.63330078125,0.36480035911215,4116.4050278483,1,931.946741857,54,55
24.13330078125,0.37264106267937,4163.1125493228,1,949.37853623,55,56
24.63330078125,0.3800257946498,4285.2096300541,1,967.128982841,56,57
25.13330078125,0.38795611504465,4382.1080154283,1,984.824728233,57,58
25.63330078125,0.39580659338434,4449.4311516254,1,1002.205460705,58,59
26.13330078125,0.40348960914177,4538.2830071671,1,1019.952146856,59,60
26.63330078125,0.41111146508324,4642.9268561941,1,1037.566051016,60,61
27.13330078125,0.41904229995739,4721.2795274875,1,1055.459149561,61,62
27.63330078125,0.42678102069686,4797.0751438415,1,1073.301504604,62,63
28.13330078125,0.43449236776541,4889.4151960441,1,1091.224114709,63,64
28.63330078125,0.4421697475736,4985.4518690387,1,1108.860737434,64,65
29.13330078125,0.4499787665993,5070.3830008725,1,1126.478604467,65,66
29.63330078125,0.45769206340962,5154.8293876026,1,1144.298124424,66,67
30.13330078125,0.46541985942461,5243.8008904454,1,1162.050897538,67,68
30.63330078125,0.47319529633132,5326.4645404687,1,1179.871514568,68,69
31.13330078125,0.48097603171942,5405.2466681003,1,1197.714947203,69,70
31.63330078125,0.48866285949085,5492.9494332726,1,1215.340740042,70,71
