time,displacement_u_y,load_rf_y,nonlinear_iterations,simulation_time,sum_nonlinear_iterations,total_increments
0,0,0,0,0,0,0
0.01,0,0,0,7.807080525,0,1
0.025,0.00035131538708738,3.5048931407617,1,51.328355774,1,2
0.0475,0.00069509038127558,7.7809191323082,1,79.362655039,2,3
0.08125,0.0012105015641819,13.333030546163,1,96.278262797,3,4
0.131875,0.0019598169453972,22.20237941647,1,111.423708916,4,5
0.2078125,0.0030697588284378,34.691803582677,1,126.930058713,5,6
0.32171875,0.0047890949049282,53.98914462864,1,142.202712184,6,7
0.492578125,0.007399088105718,83.925362478433,1,157.876536928,7,8
0.7488671875,0.011309801260255,127.57775862874,1,173.317099274,8,9
1.13330078125,0.017124211410697,191.94777334852,1,188.904506732,9,10
1.63330078125,0.024670712837575,277.76317598121,1,204.692720339,10,11
2.13330078125,0.032278056623719,367.50165757148,1,220.686318608,11,12
2.63330078125,0.039933189956244,456.56359228782,1,236.603156445,12,13
3.13330078125,0.047644864305238,546.77464972394,1,252.367216316,13,14
3.63330078125,0.05538718406286,636.26577908191,1,268.008908882,14,15
4.13330078125,0.063137843573843,725.98899765217,1,283.807494262,15,16
4.63330078125,0.070899668461447,815.32215089927,1,299.582923472,16,17
5.13330078125,0.078658543461855,904.24131900573,1,315.401354385,17,18
5.63330078125,0.086421701093898,992.41540216006,1,331.321420162,18,19
6.13330078125,0.094180869396293,1078.8054652597,1,347.233904292,19,20
6.63330078125,0.10193566083259,1164.7630328467,1,363.269954067,20,21
7.13330078125,0.10968458935612,1251.3700248036,1,379.14358606,21,22
7.63330078125,0.11743299189591,1337.3883947783,1,395.176734107,22,23
8.13330078125,0.12515142385786,1425.0812246753,1,411.345878444,23,24
8.63330078125,0.13292374513518,1511.2077127459,1,427.571178925,24,25
9.13330078125,0.14062810440466,1599.0010432089,1,443.613046111,25,26
9.63330078125,0.14836894403752,1686.449503198,1,459.653596293,26,27
10.13330078125,0.156069185086,1774.8968175944,1,476.020788427,27,28
10.63330078125,0.16378164423936,1863.3875113024,1,492.463440837,28,29
11.13330078125,0.17146419332389,1952.2737896466,1,508.880136217,29,30
11.63330078125,0.17915524202964,2040.5594360928,1,525.645842958,30,31
12.13330078125,0.1868271231878,2128.7764392494,1,542.412734629,31,32
12.63330078125,0.19450690035617,2216.4433340047,1,559.316137876,32,33
13.13330078125,0.20217835835468,2304.1852238972,1,576.372521366,33,34
13.63330078125,0.20985960555039,2391.9609906895,1,593.581733855,34,35
14.13330078125,0.2175383709999,2480.2681608581,1,610.785955396,35,36
14.63330078125,0.22522680874058,2568.8487783652,1,627.999606109,36,37
15.13330078125,0.23291391289161,2657.7249096341,1,645.426541666,37,38
15.63330078125,0.24060806459094,2746.8530281239,1,662.735659528,38,39
16.13330078125,0.24830387995431,2834.3669525844,1,680.276834795,39,40
16.63330078125,0.25600429045904,2923.8718115443,1,697.859885366,40,41
17.13330078125,0.26370648255784,3011.6714407032,1,715.34384691,41,42
17.63330078125,0.27141382278259,3100.5711144458,1,733.080296785,42,43
18.13330078125,0.27922057121691,3179.8995771809,1,750.708593486,43,44
18.63330078125,0.28691380680306,3265.5713827636,1,768.309093598,44,45
19.13330078125,0.29468108419255,3352.7709276396,1,785.999092145,45,46
19.63330078125,0.30241373428355,3439.6576125374,1,803.687860016,46,47
20.13330078125,0.31021247459037,3522.8312341172,1,821.453079153,47,48
20.63330078125,0.3181232480899,3591.569814284,1,839.266712682,48,49
21.13330078125,0.32555665170428,3693.2769210411,1,857.040131427,49,50
21.63330078125,0.33365346274735,3780.4924028253,1,874.991672003,50,51
